"","TVC.division","TVC.migration","ATM.division","ATM.migration","other"
"Arhgef8.nextpart_image10_left.2020_01_10","WT","WT","WT","WT","WT"
"Arhgef8.nextpart_image10_right.2020_01_10","WT","inhibited","WT","WT","TVC alignment"
"Arhgef8.nextpart_image11.2020_01_10","WT","WT","WT","WT","WT"
"Arhgef8.nextpart_image12.2020_01_10","WT","WT","WT","WT","WT"
"Arhgef8.nextpart_image13_left.2020_01_10","inhibited","inhibited","WT","WT","WT"
"Arhgef8.nextpart_image13_right.2020_01_10","WT","WT","WT","WT","WT"
"Arhgef8.nextpart_image14.2020_01_10","WT","WT","WT","WT","WT"
"Arhgef8.nextpart_image15.2020_01_10","WT","WT","WT","WT","WT"
"Arhgef8.nextpart_image16.2020_01_10","WT","WT","WT","WT","WT"
"Arhgef8.nextpart_image2.2020_01_10","WT","WT","WT","WT","TVC alignment"
"Arhgef8.nextpart_image3.2020_01_10","WT","WT","WT","WT","WT"
"Arhgef8.nextpart_image4.2020_01_10","WT","WT","WT","WT","WT"
"Arhgef8.nextpart_image5.2020_01_10","WT","WT","WT","WT","TVC alignment"
"Arhgef8.nextpart_image6_left.2020_01_10","WT","WT","WT","WT","WT"
"Arhgef8.nextpart_image6_right.2020_01_10","WT","WT","enhanced","WT","WT"
"Arhgef8.nextpart_image7_left.2020_01_10","WT","WT","WT","WT","WT"
"Arhgef8.nextpart_image7_right.2020_01_10","WT","WT","WT","WT","WT"
"Arhgef8.nextpart_image8.2020_01_10","WT","WT","WT","WT","WT"
"Arhgef8.nextpart_image9_left.2020_01_10","inhibited","inhibited","WT","WT","WT"
"Arhgef8.nextpart_image9_right.2020_01_10","WT","WT","WT","WT","WT"
"BMP.slide1_image10.2020_11_05","WT","WT","WT","WT","TVC alignment"
"BMP.slide1_image11_left.2020_11_04","WT","WT","WT","WT","WT"
"BMP.slide1_image11_right.2020_11_04","WT","WT","enhanced","enhanced","WT"
"BMP.slide1_image12.2020_11_04","WT","WT","enhanced","enhanced","WT"
"BMP.slide1_image13.2020_11_04","WT","WT","WT","enhanced","WT"
