"","TVC.division","TVC.migration","ATM.division","ATM.migration","other"
"Ets.slide2_image1.2020_10_06","inhibited","inhibited","WT","WT","WT"
"Ets.slide2_image10.2020_10_06","inhibited","inhibited","WT","WT","WT"
"Ets.slide2_image12_left.2020_10_06","inhibited","WT","WT","WT","WT"
"Ets.slide2_image12_right.2020_10_06","inhibited","inhibited","WT","WT","WT"
"Ets.slide2_image13_left.2020_10_06","inhibited","WT","WT","WT","WT"
"Ets.slide2_image13_right.2020_10_06","inhibited","WT","WT","WT","WT"
"Ets.slide2_image14.2020_10_06","inhibited","WT","WT","WT","WT"
"Ets.slide2_image15.2020_10_06","WT","WT","WT","WT","WT"
"Ets.slide2_image16.2020_10_06","WT","WT","WT","WT","WT"
"Ets.slide2_image18.2020_10_06","inhibited","WT","WT","WT","WT"
"Ets.slide2_image19.2020_10_06","inhibited","inhibited","WT","WT","WT"
"Ets.slide2_image2.2020_10_06","inhibited","inhibited","WT","WT","WT"
"Ets.slide2_image20.2020_10_06","WT","WT","WT","WT","WT"
"Ets.slide2_image21_left.2020_10_06","inhibited","WT","WT","WT","WT"
"Ets.slide2_image21_right.2020_10_06","WT","WT","WT","WT","WT"
"Ets.slide2_image22.2020_10_06","inhibited","WT","WT","WT","WT"
"Ets.slide2_image23.2020_10_06","inhibited","inhibited","WT","WT","WT"
"Ets.slide2_image24.2020_10_06","WT","WT","WT","WT","WT"
"Ets.slide2_image25_left.2020_10_06","inhibited","WT","WT","WT","WT"
"Ets.slide2_image26.2020_10_06","inhibited","inhibited","WT","WT","WT"
"Ets.slide2_image27_left.2020_10_06","inhibited","inhibited","WT","WT","WT"
"Ets.slide2_image28.2020_10_06","inhibited","WT","WT","WT","WT"
"Ets.slide2_image29.2020_10_06","inhibited","WT","enhanced","enhanced","WT"
"Ets.slide2_image3.2020_10_06","WT","WT","WT","WT","WT"
"Ets.slide2_image30.2020_10_06","inhibited","inhibited","WT","WT","WT"
"Ets.slide2_image31_left.2020_10_06","inhibited","WT","WT","WT","WT"
"Ets.slide2_image31_right.2020_10_06","inhibited","WT","WT","WT","WT"
"Ets.slide2_image32.2020_10_06","inhibited","WT","WT","WT","WT"
"Ets.slide2_image33.2020_10_06","WT","WT","WT","WT","WT"
"Ets.slide2_image34_left.2020_10_06","WT","WT","WT","WT","WT"
"Ets.slide2_image34_right.2020_10_06","WT","WT","WT","WT","WT"
"Ets.slide2_image36_left.2020_10_06","inhibited","WT","WT","WT","WT"
"Ets.slide2_image36_right.2020_10_06","inhibited","inhibited","WT","WT","WT"
"Ets.slide2_image37.2020_10_06","WT","WT","WT","WT","WT"
"Ets.slide2_image38.2020_10_06","WT","WT","WT","WT","WT"
"Ets.slide2_image39_left.2020_10_06","inhibited","WT","WT","WT","WT"
"Ets.slide2_image39_right.2020_10_06","inhibited","WT","WT","WT","WT"
"Ets.slide2_image4.2020_10_06","inhibited","WT","WT","WT","WT"
"Ets.slide2_image40.2020_10_06","inhibited","inhibited","WT","WT","WT"
"Ets.slide2_image41_left.2020_10_06","inhibited","inhibited","WT","WT","WT"
"Ets.slide2_image41_right.2020_10_06","WT","WT","WT","WT","WT"
"Ets.slide2_image42_left.2020_10_06","WT","WT","WT","WT","WT"
"Ets.slide2_image43_left.2020_10_06","WT","WT","WT","WT","WT"
"Ets.slide2_image44.2020_10_06","inhibited","inhibited","WT","WT","WT"
"Ets.slide2_image45.2020_10_06","inhibited","WT","WT","WT","WT"
"Ets.slide2_image46.2020_10_06","WT","inhibited","WT","WT","TVC alignment"
"Ets.slide2_image48.2020_10_06","inhibited","WT","WT","WT","WT"
"Ets.slide2_image49_left.2020_10_06","WT","WT","WT","WT","WT"
"Ets.slide2_image49_right.2020_10_06","inhibited","WT","WT","WT","WT"
"Ets.slide2_image5.2020_10_06","inhibited","WT","WT","WT","WT"
"Ets.slide2_image50_left.2020_10_06","WT","WT","WT","WT","WT"
"Ets.slide2_image50_right.2020_10_06","inhibited","inhibited","WT","WT","WT"
"Ets.slide2_image51.2020_10_06","inhibited","inhibited","WT","WT","WT"
"Ets.slide2_image52.2020_10_06","inhibited","inhibited","WT","WT","WT"
"Ets.slide2_image53.2020_10_06","inhibited","WT","WT","WT","WT"
"Ets.slide2_image6.2020_10_06","inhibited","WT","WT","WT","WT"
"Ets.slide2_image7_left.2020_10_06","inhibited","WT","WT","WT","WT"
"Ets.slide2_image7_right.2020_10_06","inhibited","inhibited","WT","WT","WT"
"Ets.slide2_image8_left.2020_10_06","WT","WT","WT","WT","WT"
"Ets.slide2_image8_right.2020_10_06","WT","WT","WT","WT","WT"
"Ets.slide2_image9.2020_10_06","inhibited","inhibited","WT","WT","WT"
"Farp.image1_left.2020_01_10","inhibited","inhibited","WT","WT","WT"
"Farp.image1_right.2020_01_10","WT","WT","WT","WT","TVC alignment"
"Farp.image1.2020_06_17","WT","WT","WT","enhanced","TVC alignment"
"Farp.image10_right.2020_06_17","WT","WT","WT","WT","WT"
"Farp.image10.2020_01_10","WT","WT","WT","WT","WT"
"Farp.image11.2020_01_10","WT","WT","WT","enhanced","WT"
"Farp.image12.2020_01_10","WT","WT","enhanced","WT","WT"
"Farp.image12.2020_06_17","inhibited","inhibited","WT","WT","WT"
"Farp.image13_left.2020_01_10","WT","WT","WT","WT","WT"
"Farp.image13_right.2020_01_10","WT","WT","WT","enhanced","WT"
"Farp.image14_left.2020_01_10","inhibited","WT","WT","WT","TVC disposition"
"Farp.image14_right.2020_01_10","WT","WT","WT","WT","WT"
"Farp.image14.2020_06_17","WT","WT","enhanced","WT","WT"
"Farp.image15.2020_01_10","WT","WT","WT","WT","WT"
"Farp.image16_left.2020_01_10","WT","WT","enhanced","WT","WT"
"Farp.image16_right.2020_01_10","WT","WT","WT","WT","WT"
"Farp.image17.2020_01_10","inhibited","inhibited","WT","WT","WT"
"Farp.image18.2020_01_10","WT","WT","enhanced","enhanced","WT"
"Farp.image19_left.2020_01_10","inhibited","inhibited","WT","WT","WT"
"Farp.image19_right.2020_01_10","WT","WT","WT","WT","WT"
"Farp.image2_left.2020_01_10","WT","WT","WT","WT","TVC disposition"
"Farp.image2_right.2020_01_10","WT","WT","enhanced","WT","WT"
"Farp.image20.2020_01_10","WT","WT","WT","WT","WT"
"Farp.image21.2020_01_10","inhibited","WT","WT","WT","WT"
"Farp.image22_left.2020_01_10","WT","WT","WT","WT","WT"
"Farp.image23.2020_01_10","WT","WT","WT","WT","WT"
"Farp.image24_left.2020_01_10","WT","WT","WT","WT","WT"
"Farp.image24_right.2020_01_10","WT","WT","WT","WT","WT"
"Farp.image25_left.2020_01_10","WT","WT","WT","WT","WT"
"Farp.image25_right.2020_01_10","WT","WT","WT","WT","TVC disposition"
"Farp.image26.2020_01_10","WT","WT","WT","WT","WT"
"Farp.image27.2020_01_10","WT","WT","WT","WT","TVC alignment"
"Farp.image28.2020_01_10","WT","WT","WT","WT","WT"
"Farp.image29.2020_01_10","WT","WT","WT","WT","WT"
"Farp.image3.2020_01_10","WT","WT","enhanced","WT","WT"
"Farp.image3.2020_06_17","WT","WT","enhanced","enhanced","WT"
"Farp.image4_left.2020_01_10","WT","WT","WT","WT","WT"
"Farp.image4_left.2020_06_17","WT","WT","WT","WT","WT"
"Farp.image4_right.2020_01_10","inhibited","inhibited","WT","WT","WT"
"Farp.image4_right.2020_06_17","WT","WT","WT","WT","WT"
"Farp.image5_left.2020_01_10","inhibited","WT","WT","enhanced","WT"
"Farp.image5_right.2020_01_10","enhanced","WT","WT","WT","WT"
"Farp.image5.2020_06_17","inhibited","WT","WT","enhanced","WT"
"Farp.image6.2020_01_10","WT","WT","WT","WT","WT"
"Farp.image6.2020_06_17","inhibited","WT","WT","WT","WT"
"Farp.image7_left.2020_06_17","WT","WT","WT","WT","WT"
"Farp.image7_right.2020_06_17","WT","WT","WT","WT","WT"
"Farp.image7.2020_01_10","WT","WT","enhanced","WT","WT"
"Farp.image8.2020_01_10","WT","WT","enhanced","WT","WT"
"Farp.image8.2020_06_17","inhibited","inhibited","WT","WT","WT"
"Farp.image9.2020_01_10","WT","WT","enhanced","enhanced","WT"
"Farp.image9.2020_06_17","inhibited","inhibited","WT","WT","WT"
"Fgfr.slide1_image1.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide1_image10.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide1_image11.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide1_image12.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide1_image13.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide1_image14_left.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide1_image14_right.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide1_image15_left.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide1_image15_right.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide1_image16.2020_10_06","WT","WT","WT","WT","TVC alignment"
"Fgfr.slide1_image17.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide1_image18.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide1_image19_left.2020_10_06","WT","WT","WT","enhanced","WT"
"Fgfr.slide1_image19_right.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide1_image2_left.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide1_image2_right.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide1_image20_right.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide1_image21.2020_10_06","WT","WT","enhanced","enhanced","WT"
"Fgfr.slide1_image23_left.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide1_image23_right.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide1_image25.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide1_image26.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide1_image28_left.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide1_image28_right.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide1_image29.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide1_image3.2020_10_06","WT","WT","WT","WT","TVC alignment"
"Fgfr.slide1_image30_left.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide1_image30_right.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide1_image32.2020_10_06","WT","WT","enhanced","enhanced","WT"
"Fgfr.slide1_image33_left.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide1_image33_right.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide1_image36_left.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide1_image36_right.2020_10_06","inhibited","WT","WT","WT","WT"
"Fgfr.slide1_image37_left.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide1_image38.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide1_image39_left.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide1_image39_right.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide1_image4_left.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide1_image4_right.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide1_image40_left.2020_10_06","WT","WT","enhanced","enhanced","WT"
"Fgfr.slide1_image40_right.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide1_image41_right.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide1_image42.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide1_image43.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide1_image5.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide1_image6.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide1_image7.2020_10_06","inhibited","WT","WT","WT","WT"
"Fgfr.slide1_image8.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide1_image9.2020_10_06","inhibited","WT","WT","WT","WT"
"Fgfr.slide2_image10.2020_10_06","WT","WT","WT","WT","TVC alignment"
"Fgfr.slide2_image11.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide2_image12.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide2_image13.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide2_image14.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide2_image15.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide2_image16_left.2020_10_06","WT","WT","WT","WT","TVC alignment"
"Fgfr.slide2_image16_right.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide2_image17.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide2_image18_right.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide2_image19.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide2_image2.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide2_image20.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide2_image21_left.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide2_image22.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide2_image23_left.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide2_image23_right.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide2_image24.2020_10_06","WT","WT","WT","WT","TVC alignment"
"Fgfr.slide2_image25.2020_10_06","WT","WT","enhanced","WT","WT"
"Fgfr.slide2_image27.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide2_image29.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide2_image3_left.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide2_image3_right.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide2_image30.2020_10_06","WT","WT","enhanced","WT","WT"
"Fgfr.slide2_image31.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide2_image32.2020_10_06","WT","WT","WT","enhanced","WT"
"Fgfr.slide2_image33.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide2_image34.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide2_image35_left.2020_10_06","inhibited","WT","WT","enhanced","WT"
"Fgfr.slide2_image36_left.2020_10_06","WT","WT","enhanced","enhanced","WT"
"Fgfr.slide2_image36_right.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide2_image37.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide2_image38_left.2020_10_06","WT","inhibited","WT","WT","WT"
"Fgfr.slide2_image38_right.2020_10_06","inhibited","WT","WT","WT","WT"
"Fgfr.slide2_image39_left.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide2_image39_right.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide2_image4.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide2_image40_left.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide2_image40_right.2020_10_06","inhibited","WT","WT","enhanced","WT"
"Fgfr.slide2_image41.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide2_image42.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide2_image43.2020_10_06","WT","WT","enhanced","enhanced","TVC alignment"
"Fgfr.slide2_image45.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide2_image46_right.2020_10_06","enhanced","WT","enhanced","WT","WT"
"Fgfr.slide2_image47.2020_10_06","inhibited","WT","WT","WT","WT"
"Fgfr.slide2_image48_right.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide2_image5.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide2_image50_left.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide2_image51.2020_10_06","WT","WT","enhanced","enhanced","WT"
"Fgfr.slide2_image52.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide2_image53_left.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide2_image54_left.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide2_image54_right.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide2_image55_left.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide2_image56.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide2_image57.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide2_image58.2020_10_06","inhibited","WT","WT","WT","WT"
"Fgfr.slide2_image59.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide2_image6.2020_10_06","inhibited","WT","WT","enhanced","WT"
"Fgfr.slide2_image60.2020_10_06","WT","WT","enhanced","enhanced","WT"
"Fgfr.slide2_image61.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide2_image62.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide2_image63.2020_10_06","WT","WT","WT","WT","TVC alignment"
"Fgfr.slide2_image64.2020_10_06","WT","WT","WT","WT","WT"
"Fgfr.slide2_image7.2020_10_06","WT","WT","WT","WT","TVC alignment"
"Fgfr.slide2_image9.2020_10_06","WT","WT","WT","WT","TVC disposition"
"Foxf.image1_right.2020_07_14","WT","WT","WT","WT","WT"
"Foxf.image1.2020_07_23","WT","WT","WT","WT","TVC alignment"
"Foxf.image10_left.2020_07_14","WT","WT","WT","WT","WT"
"Foxf.image10_left.2020_07_23","WT","WT","WT","WT","TVC alignment"
"Foxf.image10_right.2020_07_14","inhibited","WT","WT","WT","WT"
"Foxf.image10_right.2020_07_23","WT","WT","WT","WT","TVC alignment"
"Foxf.image10.2020_06_17","WT","WT","WT","WT","WT"
"Foxf.image11.2020_06_17","WT","WT","WT","WT","TVC alignment"
"Foxf.image11.2020_07_14","WT","WT","WT","WT","WT"
"Foxf.image12.2020_06_17","enhanced","WT","enhanced","WT","WT"
"Foxf.image13_left.2020_06_17","inhibited","WT","WT","WT","WT"
"Foxf.image13_right.2020_06_17","inhibited","WT","enhanced","WT","WT"
"Foxf.image14.2020_06_17","WT","WT","enhanced","enhanced","WT"
"Foxf.image15_left.2020_06_17","WT","WT","WT","WT","WT"
"Foxf.image15_right.2020_06_17","WT","WT","WT","WT","WT"
"Foxf.image17_left.2020_06_17","WT","WT","WT","WT","WT"
"Foxf.image19_left.2020_06_17","WT","WT","WT","WT","WT"
"Foxf.image19_right.2020_06_17","WT","WT","WT","WT","WT"
"Foxf.image2.2020_06_17","WT","WT","WT","WT","WT"
"Foxf.image2.2020_07_14","WT","WT","WT","WT","WT"
"Foxf.image2.2020_07_23","inhibited","WT","WT","WT","TVC alignment"
"Foxf.image3.2020_06_17","WT","WT","WT","WT","WT"
"Foxf.image3.2020_07_14","WT","WT","WT","WT","TVC alignment"
"Foxf.image3.2020_07_23","inhibited","WT","enhanced","WT","WT"
"Foxf.image4.2020_06_17","WT","WT","WT","WT","TVC alignment"
"Foxf.image4.2020_07_14","inhibited","inhibited","WT","WT","WT"
"Foxf.image4.2020_07_23","WT","WT","WT","WT","TVC alignment"
"Foxf.image5_left.2020_07_23","inhibited","WT","WT","WT","WT"
"Foxf.image5_right.2020_07_23","WT","WT","WT","WT","TVC alignment"
"Foxf.image5.2020_06_17","WT","WT","WT","WT","WT"
"Foxf.image6.2020_06_17","WT","WT","WT","WT","WT"
"Foxf.image6.2020_07_14","inhibited","WT","WT","WT","WT"
"Foxf.image7.2020_06_17","WT","WT","WT","WT","WT"
"Foxf.image7.2020_07_14","WT","WT","WT","WT","WT"
"Foxf.image7.2020_07_23","WT","WT","WT","WT","WT"
"Foxf.image8_left.2020_07_23","inhibited","WT","WT","WT","WT"
"Foxf.image8_right.2020_07_23","inhibited","WT","WT","WT","WT"
"Foxf.image8.2020_07_14","WT","WT","WT","WT","WT"
"Foxf.image9_left.2020_07_14","inhibited","WT","WT","WT","WT"
"Foxf.image9.2020_06_17","WT","WT","WT","WT","WT"
"Foxf.image9.2020_07_23","WT","WT","WT","WT","WT"
"Foxf.slide1_image1.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Foxf.slide1_image10.2020_02_06","WT","WT","WT","enhanced","TVC alignment"
"Foxf.slide1_image11.2020_02_06","WT","WT","WT","WT","TVC disposition"
"Foxf.slide1_image12.2020_02_06","WT","WT","WT","WT","WT"
"Foxf.slide1_image14_left.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Foxf.slide1_image14_right.2020_02_06","WT","inhibited","WT","WT","TVC alignment"
"Foxf.slide1_image15_left.2020_02_06","WT","WT","WT","enhanced","WT"
"Foxf.slide1_image15_right.2020_02_06","WT","inhibited","WT","WT","TVC alignment"
"Foxf.slide1_image16.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Foxf.slide1_image17.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Foxf.slide1_image18.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Foxf.slide1_image19.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Foxf.slide1_image2.2020_02_06","WT","WT","WT","WT","WT"
"Foxf.slide1_image20.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Foxf.slide1_image21.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Foxf.slide1_image22_left.2020_02_06","WT","inhibited","WT","WT","TVC alignment"
"Foxf.slide1_image22_right.2020_02_06","WT","WT","WT","WT","WT"
"Foxf.slide1_image3.2020_02_06","WT","WT","WT","WT","WT"
"Foxf.slide1_image4.2020_02_06","inhibited","inhibited","WT","WT","WT"
"Foxf.slide1_image5.2020_02_06","WT","WT","WT","WT","WT"
"Foxf.slide1_image6.2020_02_06","WT","WT","WT","WT","WT"
"Foxf.slide1_image7.2020_02_06","WT","WT","WT","WT","WT"
"Foxf.slide1_image8.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Foxf.slide1_image9.2020_02_06","WT","WT","WT","WT","WT"
"Foxf.slide2_image1.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Foxf.slide2_image10.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Foxf.slide2_image11.2020_02_06","WT","WT","WT","WT","WT"
"Foxf.slide2_image12_left.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Foxf.slide2_image12_right.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Foxf.slide2_image13.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Foxf.slide2_image14_left.2020_02_06","WT","WT","WT","WT","WT"
"Foxf.slide2_image14_right.2020_02_06","WT","WT","WT","WT","WT"
"Foxf.slide2_image15.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Foxf.slide2_image16.2020_02_06","WT","inhibited","WT","WT","TVC alignment"
"Foxf.slide2_image18.2020_02_06","WT","WT","WT","WT","WT"
"Foxf.slide2_image19.2020_02_06","WT","WT","WT","WT","WT"
"Foxf.slide2_image2.2020_02_06","WT","WT","WT","WT","WT"
"Foxf.slide2_image20.2020_02_06","WT","WT","WT","WT","WT"
"Foxf.slide2_image21.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Foxf.slide2_image22.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Foxf.slide2_image24.2020_02_06","WT","WT","WT","WT","WT"
"Foxf.slide2_image25_left.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Foxf.slide2_image26.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Foxf.slide2_image27_left.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Foxf.slide2_image28.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Foxf.slide2_image29.2020_02_06","WT","WT","WT","WT","WT"
"Foxf.slide2_image3_left.2020_02_06","WT","WT","WT","WT","WT"
"Foxf.slide2_image30_left.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Foxf.slide2_image30_right.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Foxf.slide2_image31_left.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Foxf.slide2_image31_right.2020_02_06","WT","WT","WT","WT","WT"
"Foxf.slide2_image32.2020_02_06","WT","inhibited","WT","WT","TVC alignment"
"Foxf.slide2_image4.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Foxf.slide2_image5.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Foxf.slide2_image6.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Foxf.slide2_image7.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Foxf.slide2_image8.2020_02_06","WT","WT","WT","WT","WT"
"Foxf.slide2_image9.2020_02_06","WT","WT","WT","WT","TVC alignment"
"FZD.slide1_image1_right.2020_11_04","WT","WT","enhanced","WT","WT"
"FZD.slide1_image1.2020_11_05","WT","WT","WT","enhanced","WT"
"FZD.slide1_image10_left.2020_11_04","inhibited","inhibited","WT","WT","WT"
"FZD.slide1_image10_right.2020_11_04","WT","WT","WT","WT","WT"
"FZD.slide1_image10.2020_11_05","WT","WT","WT","enhanced","WT"
"FZD.slide1_image12.2020_11_04","inhibited","WT","WT","enhanced","WT"
"FZD.slide1_image14.2020_11_05","WT","WT","enhanced","enhanced","WT"
"FZD.slide1_image15_left.2020_11_04","WT","WT","WT","enhanced","WT"
"FZD.slide1_image15_right.2020_11_04","WT","WT","WT","WT","WT"
"FZD.slide1_image16.2020_11_05","WT","WT","enhanced","enhanced","WT"
"FZD.slide1_image18.2020_11_04","WT","WT","WT","WT","WT"
"FZD.slide1_image19_right.2020_11_05","inhibited","WT","WT","enhanced","WT"
"FZD.slide1_image21_right.2020_11_05","WT","WT","WT","enhanced","WT"
"FZD.slide1_image22.2020_11_04","WT","WT","WT","WT","WT"
"FZD.slide1_image22.2020_11_05","WT","WT","enhanced","enhanced","WT"
"FZD.slide1_image23_right.2020_11_04","WT","WT","WT","WT","WT"
"FZD.slide1_image23.2020_11_05","WT","WT","WT","WT","WT"
"FZD.slide1_image29_left.2020_11_04","WT","WT","WT","WT","WT"
"FZD.slide1_image30_left.2020_11_04","WT","WT","enhanced","WT","WT"
"FZD.slide1_image4_left.2020_11_05","WT","WT","WT","enhanced","WT"
"FZD.slide1_image4.2020_11_04","WT","WT","WT","enhanced","WT"
"FZD.slide1_image6.2020_11_04","WT","WT","WT","WT","WT"
"FZD.slide1_image8.2020_11_05","WT","WT","WT","WT","WT"
"FZD.slide1_image9_left.2020_11_04","WT","WT","WT","WT","WT"
"FZD.slide1_image9_right.2020_11_04","inhibited","WT","WT","WT","WT"
"FZD.slide2_image1.2020_11_04","WT","WT","enhanced","enhanced","WT"
"FZD.slide2_image11.2020_11_04","WT","WT","enhanced","WT","WT"
"FZD.slide2_image13.2020_11_04","WT","WT","WT","WT","WT"
"FZD.slide2_image13.2020_11_05","WT","WT","WT","WT","WT"
"FZD.slide2_image15_left.2020_11_04","WT","WT","WT","WT","WT"
"FZD.slide2_image15_right.2020_11_04","WT","WT","enhanced","WT","WT"
"FZD.slide2_image15.2020_11_05","inhibited","inhibited","WT","WT","WT"
"FZD.slide2_image16.2020_11_05","WT","WT","enhanced","enhanced","WT"
"FZD.slide2_image17.2020_11_04","WT","WT","enhanced","WT","WT"
"FZD.slide2_image18.2020_11_05","inhibited","WT","WT","enhanced","WT"
"FZD.slide2_image19.2020_11_05","WT","WT","enhanced","enhanced","WT"
"FZD.slide2_image22.2020_11_04","WT","WT","WT","WT","WT"
"FZD.slide2_image23.2020_11_05","WT","inhibited","WT","WT","WT"
"FZD.slide2_image25.2020_11_04","inhibited","inhibited","WT","WT","WT"
"FZD.slide2_image25.2020_11_05","WT","inhibited","WT","WT","TVC alignment"
"FZD.slide2_image27.2020_11_05","WT","WT","WT","enhanced","WT"
"FZD.slide2_image28_left.2020_11_05","WT","WT","WT","WT","WT"
"FZD.slide2_image28_right.2020_11_05","WT","WT","enhanced","enhanced","WT"
"FZD.slide2_image29.2020_11_05","WT","WT","WT","WT","WT"
"FZD.slide2_image30.2020_11_04","WT","WT","WT","WT","WT"
