Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
-0.09853259,0.054818623,0.22411643,-0.060714472,0.1738143,0.13682674,-0.17469332,-0.16455047,0.064680696,-0.111828305,-0.03453295,0.18863793,-0.11724827,-0.0144359255
0.11720496,0.5681117,-0.25502804,-0.6685576,-0.24471624,-0.83992934,0.1805468,-0.09773815,0.8324124,0.93859065,0.86701334,-0.624811,-0.36282504,0.91275597
-0.5017646,0.37160888,0.939932,-0.0627997,0.5908574,0.72364736,-0.37865153,-0.6360396,-0.45176873,-0.72084886,-0.35772118,0.89865893,0.21409583,-0.6233206
-0.13001478,-0.19345123,-0.7027539,0.5728896,0.068177424,0.721375,-0.02543075,-0.21337378,0.061865143,0.8022381,0.86113745,-0.75766724,0.51448923,0.5826687
0.77444136,0.49057698,-0.35308826,0.68770134,-0.5311472,-0.22526678,-0.24897029,-0.5535346,-0.4235435,-0.8404253,-0.40454003,-0.5643828,0.36995026,-0.47247246
-0.37704927,-0.7192011,0.43608877,0.65041924,-0.010932074,0.6347751,-0.68150014,-0.4650794,-0.5451488,-0.8890912,-0.8744394,0.6081739,0.030967971,-0.866274
-0.16356063,0.9498955,0.6880164,-0.3066303,0.36833164,0.28446522,-0.8078975,-0.8087183,-0.54097295,-0.82821476,0.71825635,0.7824089,-0.0278798,0.5870569
0.15364575,0.9685167,0.6568589,-0.59655756,-0.16426426,-0.5590806,0.36273968,-0.34968075,-0.41814232,0.36366713,0.9142016,0.38805324,0.61802024,0.82860994
0.65138793,0.8964705,-0.84707963,-0.24982563,0.030257093,-0.42887592,-0.7611676,-0.23805965,-0.2546186,-0.91227615,0.33002865,-0.25328308,-0.6680482,0.68133396
0.6112869,0.82761997,-0.59772265,-0.43179956,-0.10009641,-0.64316624,-0.34295785,0.18622796,-0.3697491,-0.90693384,-0.2530505,0.12906338,-0.5455314,0.31123638
-0.7533755,0.7442485,0.8981756,-0.2667222,-0.4105403,-0.24058956,-0.51298285,-0.6488006,-0.78772414,-0.48550418,0.45048302,0.92244583,0.6429434,0.19293387
0.74580175,0.18929978,-0.6434951,0.05176523,0.3475113,0.062563635,0.28910452,0.22559196,0.496896,-0.15587585,-0.12792985,-0.72885317,-0.4425098,0.030153679
-0.88453484,-0.8693741,0.19349907,-0.7627778,0.48427585,-0.076466285,0.29612154,0.6041307,0.8857581,0.98259175,0.55318403,0.16870911,-0.6405604,0.72346973
