Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
-0.11786372,-0.357425,-0.34817716,0.37643608,-0.13135417,0.11406309,-0.5033206,-0.46181613,0.36280903,0.1850695,0.08964645,-0.417953,-0.34055817,0.28911495
0.36801267,0.21352145,0.24738866,-0.19632846,0.36787575,-0.37532142,-0.14945696,-0.2561156,0.32388926,-0.35139117,-0.38979465,-0.015955195,-0.40201026,-0.25417733
-0.0101826675,-0.0044535967,-0.0064822417,-0.009334489,-0.009884168,0.008861323,0.018840946,0.022069704,-0.005119971,0.026896816,0.0049399678,0.012741747,0.013449541,0.006316913
0.047318127,0.03837336,0.04200137,-0.044907544,0.048485357,-0.04927963,-0.001270221,-0.016197264,0.03431421,-0.031958424,-0.054154556,0.015783489,-0.03805872,-0.04053574
-0.20528011,-0.27868336,-0.28578493,0.27316648,-0.21211547,0.20523961,-0.2250675,-0.15496273,0.07901434,0.24739997,0.19524972,-0.22131008,-0.0283666,0.25431022
0.32399222,0.4605837,0.46899372,-0.4721568,0.3375544,-0.32608646,0.39812815,0.2919772,-0.1515641,-0.3531244,-0.31807816,0.39411423,0.092563935,-0.419026
-0.36760056,-0.4052976,-0.4239003,0.38681793,-0.37581968,0.36950848,-0.20354287,-0.0765667,-0.02365565,0.41033792,0.36267328,-0.25423038,0.1123792,0.38949245
0.14339165,0.07743928,0.09123155,-0.07465198,0.1437555,-0.14725609,-0.07020329,-0.111582,0.13861322,-0.12532489,-0.15632358,-0.0125042135,-0.16667184,-0.094934024
0.16293003,0.10235035,0.116919786,-0.09960346,0.16387922,-0.16696173,-0.053878587,-0.102428615,0.13687673,-0.14705057,-0.1756398,0.005434874,-0.1689346,-0.11784672
0.19590467,0.21721041,0.22808315,-0.22133954,0.20145865,-0.19885346,0.11120486,0.045576636,0.022168815,-0.19603732,-0.20103788,0.14138712,-0.05807286,-0.20870642
0.047349088,0.30630827,0.29259425,-0.3389615,0.061895642,-0.04478033,0.47368562,0.4460663,-0.36126032,-0.07831297,-0.027613467,0.39116856,0.36998495,-0.2337019
0.1784408,0.010635161,0.03480498,0.007104218,0.17503084,-0.18383624,-0.24764037,-0.28965515,0.28901622,-0.14622019,-0.20022276,-0.14155783,-0.32638595,-0.05841386
0.26338646,0.23540111,0.25448972,-0.22885448,0.26804775,-0.26756728,0.029290747,-0.05668842,0.11929289,-0.25969306,-0.2733365,0.100098364,-0.17124602,-0.24058893
0.087471016,0.30366912,0.29470766,-0.33189425,0.10058852,-0.086161815,0.42313483,0.3855247,-0.2955629,-0.113885954,-0.07254996,0.3578461,0.29427442,-0.24203354
0.09893705,-0.009139908,0.0045162207,0.01353234,0.09629914,-0.10299226,-0.15588482,-0.17866808,0.18460058,-0.07080075,-0.11539339,-0.09260206,-0.20514822,-0.02122583
-0.38035554,-0.43021992,-0.44828936,0.41379362,-0.38937524,0.3820728,-0.2413143,-0.11106466,0.0006659326,0.42572033,0.3741363,-0.2848306,0.091585144,0.41124076
-0.4097273,-0.42387676,-0.44627482,0.40170377,-0.41738138,0.41229275,-0.17385642,-0.032084398,-0.07347092,0.44987154,0.40741584,-0.24377254,0.17355473,0.41440526
-0.08151355,-0.15678222,-0.15703353,0.1521854,-0.086250424,0.07994942,-0.16614227,-0.134479,0.10045884,0.11645462,0.06975385,-0.1465178,-0.0794971,0.13364162
0.346648,0.4189864,0.43352416,-0.42110944,0.35725382,-0.35013136,0.2651989,0.1452125,-0.021563517,-0.3650857,-0.34785703,0.3020962,-0.045757357,-0.39394334
-0.08916899,-0.06546398,-0.07305055,0.050567094,-0.089250825,0.08919876,0.008720117,0.03536634,-0.043715194,0.108201474,0.08672662,-0.01222495,0.07223931,0.071026444
0.056498166,0.27582142,0.26485494,-0.30509686,0.06912843,-0.0548141,0.4124574,0.38280696,-0.3014726,-0.081013806,-0.041154433,0.3425399,0.30687508,-0.21344644
-0.020470649,-0.20244023,-0.19101726,0.21358842,-0.028918266,0.016790098,-0.33921114,-0.32071796,0.26826945,0.069656044,-0.0017295689,-0.26618564,-0.26559424,0.14922494
